NOMENUM;ARIMA RMSE;LSTM RMSE;Prophet RMSE;ARIMA R2;LSTM R2;Prophet R2
Itinga do Maranhão;89.79083385767274;9852.722788720917;256.31187752004786;-1.998293501934974;-0.4604243721782224;-1339.4424541777387
Corinto;203.6674792018644;31998.1797686063;170.37390604497247;-1.5149850335931632;-14.403417691079289;-1328.1274448876936
Jesuítas;95.45033223208651;4365.863261895275;67.6770169065138;-2.339686470677387;0.7132477703860829;-1337.1153975791945
Pelotas;4111.625673415555;5005.963116368849;4214.860110051797;0.614806156232307;0.6229995790350793;-644.4242434544832
Brejões;232.31353674908402;1741.882056194144;88.729119164092;-2.976273203319103;0.9543538624128215;-1343.555123221306
Garopaba;986.8480523338122;4302.072286689257;131.13142183855507;-9.701596861990549;0.7215662021642868;-1296.226455374691
Vitória de Santo Antão;1352.6646474913266;57509.78929088933;404.2258344116567;-2.694388647640896;-48.75653135909088;-1244.6797876512098
Pereiras;9.447122409869678;17979.66285127424;72.60873705465927;-10.432691376349682;-3.863284000500948;-1344.0905516103728
Itaipé;inf;3678.1416128430346;109.96154565729009;-inf;0.7964723414080045;-1351.1043138219766
São Roque do Canaã;2.5129147642719165e+17;4086.526812536123;991.8195653020083;-5.228551294955222e+29;0.7487678298522669;-1321.9378135266231
Água Branca;211.60268451262274;7502.763456499573;49.5772120945142;-3.449281164846978;0.15314500558541944;-1337.4971935959268
Santa Isabel do Pará;154.73186589644462;2165.2792941040148;108.3361349391037;0.36872303394529415;0.9294666696832175;-1321.5770500786648
Ponte Alta do Tocantins;6069.553236587604;1065.597848153179;472.8333424028845;-261.3767701827609;0.9829174298070189;-1343.7837534949483
Baía da Traição;61.345008142361614;7316.9219630754515;137.38091486924526;-3.2234489155718498;0.19457818074469702;-1339.471774930397
Patos;448.254104231748;2407.3944239859748;3489.4982577833416;0.3663909153267261;0.9128111308507467;-1150.5035823021244
Novo Cruzeiro;242.31787581972333;9985.228418766761;479.57274977942524;-12.485989293133596;-0.4999699288620396;-1340.287446200139
Governador Lindenberg;783.1890934862319;1958.082307829814;921.9799747247804;-2.6572809757633404;0.9423195777397066;-1321.0559373840597
Regente Feijó;149.1184128500953;5613.496330840288;218.00586212302247;0.771056318654476;0.5259398708293479;-1342.8793682553342
Votuporanga;2626.066708328202;9336.985505355218;838.4632398520151;-0.8889168592891825;-0.3115350867514952;-1184.46818111031
Itambé;134.6051971261349;6537.1426655780615;216.27202772103445;-2.650023199411255;0.3571014142842094;-1344.1558273301841
Major Gercino;45.31389690729456;3081.64012682024;85.15393045764658;-1.4221654319847192;0.857133506570446;-1350.6425802549657
Passo de Torres;163.47404149717235;6003.8443710482;223.74164761600355;-1.4752408844532527;0.45771774097984996;-1331.6771018545119
Caraá;37.871570752776506;3038.0986559147605;58.12077000254198;-5.566231269351538;0.8611421970570106;-1344.2513351957746
Chuí;33.454393572635;2654.4174795341078;48.63975613907662;-4.812895987357051;0.8940002108490349;-1346.9908943568403
Jacuizinho;10.344484196950273;1332.8557079505933;9.039534043718616;-4.392546626911371;0.9732740706102948;-1351.752600989801
Mato Leitão;40.06489185415446;1749.24644266859;116.07908731281296;0.6789394610660026;0.9539670780121765;-1343.579822225116
Mormaço;150.19239697840322;803.3419783252695;123.65304793316136;-0.6055868118459036;0.9902911572472783;-1347.886189153667
Novo Machado;12.690945532544548;979.117001870691;52.171157100151106;0.7419633321386836;0.9855776600489835;-1352.168362598608
Santo Antônio do Planalto;45.27597760704059;33639.67251292092;63.172725274501545;-1.1735329596710034;-16.02433131994363;-1353.6839828502077
São Paulo das Missões;59.74100652139864;6634.172951764901;57.05454437628142;-0.9281957029396679;0.3378747911685801;-1344.6007517809687
Tio Hugo;54.02262848351342;1846.981526229935;74.16969562168225;-3.1656976786839683;0.9486794091815534;-1348.9720671324276
